Time (ms),Main Avg Power (mW)
16152.60,86.3181
16152.80,85.9566
16153.00,86.0503
16153.20,86.1106
16153.40,86.3951
16153.60,85.9733
16153.80,86.0101
16154.00,86.134
16154.20,86.0603
16154.40,86.1005
16154.60,86.1641
16154.80,86.1139
16155.00,86.0972
16155.20,85.9164
16155.40,85.9432
16155.60,85.9063
16155.80,85.759
16156.00,85.99
16156.20,85.9934
16156.40,85.8059
16156.60,86.0603
16156.80,85.913
16157.00,85.8795
16157.20,85.7389
16157.40,85.8996
16157.60,85.9197
16157.80,85.8427
16158.00,86.0168
16158.20,85.6921
16158.40,85.6184
16158.60,85.5448
16158.80,85.6519
16159.00,85.8394
16159.20,85.8293
16159.40,85.8628
16159.60,85.7825
16159.80,85.7557
16160.00,85.8159
16160.20,85.7958
16160.40,85.7825
16160.60,85.8494
16160.80,85.9632
16161.00,85.7222
16161.20,85.7222
16161.40,85.99
16161.60,85.9063
16161.80,85.9197
16162.00,86.1854
16162.20,85.9164
16162.40,86.0269
16162.60,85.8494
16162.80,86.134
16163.00,85.9298
16163.20,85.8293
16163.40,85.9632
16163.60,86.124
16163.80,86.1039
16164.00,86.1273
16164.20,86.047
16164.40,86.2378
16164.60,86.1742
16164.80,86.0905
16165.00,86.1842
16165.20,86.1206
16165.40,86.0034
16165.60,86.1775
16165.80,86.3918
16166.00,86.0135
16166.20,86.211
16166.40,86.355
16166.60,86.2512
16166.80,86.0302
16167.00,86.2813
16167.20,86.3248
16167.40,86.432
16167.60,86.355
16167.80,86.3248
16168.00,86.3583
16168.20,86.3717
16168.40,86.3985
16168.60,86.3181
16168.80,86.2077
16169.00,86.2077
16169.20,86.3865
16169.40,86.2277
16169.60,86.1976
16169.80,86.1641
16170.00,86.1708
16170.20,86.3248
16170.40,86.2512
16170.60,86.0905
16170.80,86.4085
16171.00,86.1708
16171.20,86.3684
16171.40,86.2077
16171.60,86.1139
16171.80,85.9867
16172.00,85.913
16172.20,86.0871
16172.40,85.9264
16172.60,86.047
16172.80,86.1876
16173.00,86.1273
16173.20,86.0101
16173.40,86.1474
16173.60,86.1775
16173.80,86.0302
16174.00,85.8695
